#Type,Description      , Circuits, MaxLoad, Clock, Xmit, Ports, Intensity, Servo, SSR, Input, Ptype, spare, spare
  157,CTB08g3 Ver 1.?  , 8       , 31000  , 0    , 1   , 1    , 1        , 0    , 0  , 1    , 0    , 0    , 0    
  160,CMB16   Ver 1.?  , 16      , 31000  , 0    , 1   , 1    , 1        , 0    , 0  , 1    , 0    , 0    , 0    
  161,CMB16   Ver 2.?  , 16      , 31000  , 0    , 1   , 1    , 1        , 0    , 0  , 1    , 0    , 0    , 0    
  162,CMB16   Ver 3.?  , 16      , 31000  , 0    , 1   , 1    , 1        , 0    , 0  , 1    , 0    , 0    , 0    
  165,DMX1000 Ver 1.?  , 16      , 31000  , 0    , 1   , 0    , 1        , 0    , 0  , 0    , 0    , 0    , 0    
  167,CTB04g3 Ver 1.?  , 4       , 31000  , 0    , 1   , 1    , 1        , 0    , 0  , 1    , 0    , 0    , 0    
  170,MCP32   Ver 1.?  , 32      , 31000  , 0    , 1   , 1    , 1        , 0    , 0  , 1    , 0    , 0    , 0    
  175,DIO32   Ver 1.?  , 32      , 31000  , 0    , 1   , 1    , 1        , 0    , 0  , 2    , 0    , 0    , 0    
  180,CR150D  Ver 1.?  , 150     , 64000  , 0    , 1   , 1    , 1        , 0    , 0  , 1    , 1    , 0    , 0    
  181,CR150D  Ver 2.?  , 150     , 64000  , 0    , 1   , 1    , 1        , 0    , 0  , 1    , 2    , 0    , 0    
  185,SD08    Ver 1.?  , 8       , 32000  , 0    , 1   , 1    , 1        , 0    , 0  , 1    , 0    , 0    , 0    
  202,BootLoader-16D   , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  203,BootLoader-MP3   , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  204,BootLoader-RF    , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  205,BootLoader-16D   , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
